Time (s),ESC signal (µs),Servo 1 (µs),Servo 2 (µs),Servo 3 (µs),AccX (g),AccY (g),AccZ (g),Torque (N·m),Thrust (N),Voltage (V),Current (A),Motor Electrical Speed (RPM),Motor Optical Speed (RPM),Electrical Power (W),Mechanical Power (W),Motor Efficiency (%),Propeller Mech. Efficiency (N/W),Overall Efficiency (N/W),Vibration (g),App message,
1.1962285000000659,1000,,,,-0.06353515625,0.0201171875,-1.00755859375,-0.0005436344712097991,0.032214430549116754,49.046142463684085,0.05512575149536142,0,0,2.703704315889849,0,0,0,0,0.1320703125,,
1.218775049999897,1100,,,,-0.06849609375,0.0241796875,-1.0075,-0.0003819361261386735,0.0023781021458386493,49.04499099731445,0.05581084907054909,0,0,2.7372411360788256,0,0,0,0,0.08544921875,,
7.63891704999989,1193.3333333333317,,,,-0.0695703125,0.022734375,-1.0028125,0.006426294087016465,0.284453331987053,49.03532329559326,0.1401599007844922,0,0,6.872780196180661,0,0,0,0,0.10916015625,,
13.976651549999893,1286.6666666666686,,,,-0.07169921875,0.02404296875,-1.0037890625,0.0324462170702345,1.0857150888992495,49.006125869750974,0.37333395957946763,0,0,18.29564399934833,0,0,0,0,0.131015625,,
20.33119514999989,1380,,,,-0.06943359375,0.02318359375,-1.0020703125,0.07701308277940597,3.41663819020562,48.95205917358398,0.8166597139835359,0,2092,39.977141301617195,16.869454656809914,42.24881837552211,0.20288540894753535,0.08557221404077284,0.22873046875,,
26.686194099999902,1473.3333333333328,,,,-0.0698828125,0.021328125,-0.99650390625,0.1386415073489012,6.36654426015929,48.85722461700439,1.5114342129230522,0,2768,73.84436832303328,40.19482636543634,54.50653884313436,0.15847210358267183,0.08631330693465888,0.8334375,,
33.04216294999989,1566.6666666666665,,,,-0.07671875,0.0248828125,-1.00189453125,0.21138253377604369,10.000210148897267,48.719994354248044,2.500153068304065,0,3420,121.80723985719418,75.71333209372739,62.21764461308954,0.13213175447918862,0.0821725593163356,0.6202734375,,
39.433890549999894,1660,,,,-0.06046875,0.0212109375,-1.0053515625,0.2939458636985622,14.145805001535159,48.53489433288574,3.80117256522179,0,4019,184.48829083915345,123.70329200090698,67.20885545579873,0.114444373022212,0.0768316914932218,0.49873046875,,
45.7901580499999,1753.3333333333344,,,,-0.0665625,0.0165234375,-1.0044921875,0.3739325527645883,17.94787468401923,48.32876861572266,5.209012964963916,0,4507,251.744486878249,176.4736149807819,70.13712874055224,0.10170803042803704,0.07133228007627698,0.84431640625,,
52.17285339999992,1846.6666666666652,,,,-0.06576171875,0.02287109375,-1.00349609375,0.38186809833740304,18.428408869610227,48.23428886413574,5.404785674810413,0,4559,260.6956842158471,182.32862379008284,69.97323054081404,0.10107453139254886,0.07072369099442902,0.71107421875,,
58.48723134999991,1940,,,,-0.06763671875,0.016015625,-1.0004296875,0.3842809126291559,18.70097683244292,48.179497451782225,5.481452134847644,0,4569,264.09273878509026,183.881722450547,69.68226955088107,0.10170156834894666,0.07086760163823402,0.77072265625,,
